Team,CPI,W,L,OW,OL,OOW,OOL,Year
San Diego St,4.189508480940371,9,4,75,75,952,933,2012
Louisiana-Lafayette,3.843886458855989,9,4,71,79,970,906,2012
Mississippi St,3.938680715256741,8,5,82,68,1057,812,2012
North Carolina,3.6474848588578768,8,4,66,72,923,792,2012
Central Florida,3.852716938398273,10,4,67,80,943,910,2012
Brigham Young,3.511036707305889,8,5,80,70,1000,888,2012
Miami FL,3.8329228285474906,7,5,83,58,978,777,2012
Texas Tech,3.549705267557366,8,5,80,72,1053,862,2012
Wisconsin,3.592780292816887,8,6,89,61,1031,854,2012
Navy,3.0893751097242617,8,5,75,73,955,895,2012
Arizona St,3.3173987054513314,8,5,75,74,1054,822,2012
Mississippi,3.3085477771719343,7,6,93,60,1107,823,2012
Michigan St,3.222730524692776,7,6,95,59,1048,884,2012
Middle Tennessee St,3.2196903319489776,8,4,64,74,870,852,2012
Washington,2.919129862329211,7,6,87,64,1073,832,2012
Texas-San Antonio,2.539993392004325,8,4,54,76,783,793,2012
Ohio U.,2.9881906653634096,9,4,62,85,932,909,2012
Virginia Tech,2.6815212635380616,7,6,86,66,1013,875,2012
Southern Cal,2.9125749141607598,7,6,89,66,1100,844,2012
Bowling Green,2.499217818153828,8,5,66,83,1021,847,2012
TCU,2.504580543068961,7,6,81,71,1079,831,2012
West Virginia,2.8066085328940655,7,6,86,65,1053,847,2012
East Carolina,2.6787513015661966,8,5,71,77,922,924,2012
Louisiana-Monroe,2.469804415260899,8,5,67,82,988,897,2012
Georgia Tech,2.116371485467338,7,7,91,71,1093,944,2012
North Carolina St,2.1194725175506495,7,6,75,72,957,878,2012
Missouri,1.9702237361541044,5,7,98,45,1034,749,2012
SMU,2.0092163040000783,7,6,76,75,949,919,2012
Iowa St,1.802729141100443,6,7,80,60,990,773,2012
Duke,1.829973924869227,6,7,89,62,1003,869,2012
Western Kentucky,1.686957304726293,7,6,68,80,950,906,2012
Pittsburgh,1.7321766896253896,6,7,83,64,1013,820,2012
Central Michigan,1.561735540281205,7,6,65,84,984,888,2012
Purdue,1.5928236816992827,6,7,80,68,1033,830,2012
Nevada,1.450191614724006,7,6,64,85,943,930,2012
Tennessee,1.2913135070581137,5,7,78,62,1011,747,2012
Rice,1.3956534643304324,7,6,64,85,893,950,2012
Minnesota,1.3848673057181082,6,7,78,76,1046,859,2012
Wake Forest,1.1816748309798646,5,7,76,62,928,795,2012
Utah,1.0532236282990093,5,7,72,68,965,788,2012
Air Force,0.8025959077613809,6,7,61,89,929,953,2012
Arkansas,0.8743841242551814,4,8,91,51,1006,744,2012
Connecticut,0.829991335786993,5,7,64,73,898,810,2012
Marshall,0.7380730069805701,5,7,64,76,830,870,2012
Troy,0.7660056499065749,5,7,63,75,879,851,2012
Houston,0.7668419415058487,5,7,65,74,828,880,2012
Temple,0.7283247051877525,4,7,67,59,833,722,2012
Iowa,0.6463814899641125,4,8,81,61,944,816,2012
Miami OH,0.6179947300614194,4,8,81,58,854,884,2012
Virginia,0.5858441574731221,4,8,75,62,902,807,2012
Indiana,0.5773541288165301,4,8,74,64,933,788,2012
Buffalo,0.5318602204858035,4,8,76,65,864,884,2012
North Texas,0.5061461387134791,4,8,72,66,864,857,2012
Colorado St,0.5302688331046668,4,8,77,66,876,898,2012
Maryland,0.45806879137509887,4,8,66,71,907,795,2012
Texas St-San Marcos,0.47376869147160783,4,8,70,67,831,865,2012
Wyoming,0.47822219258411897,4,8,72,69,874,891,2012
Western Michigan,0.43356664463338734,4,8,67,73,896,857,2012
Memphis,0.4225896487584102,4,8,66,72,853,857,2012
Auburn,0.3694584820900803,3,9,92,50,1001,776,2012
California,0.3243195088519728,3,9,87,54,959,800,2012
South Florida,0.30655713594946576,3,9,85,54,904,819,2012
New Mexico,0.2518938754825158,4,9,63,86,904,965,2012
Washington St,0.25360612440898345,3,9,78,66,988,798,2012
Florida Atlantic,0.23960551175187134,3,9,79,63,871,887,2012
Florida Int'l,0.1946929536088698,3,9,71,70,859,889,2012
Alabama-Birmingham,0.19522691723150645,3,9,69,68,828,853,2012
UTEP,0.17455158197322662,3,9,67,76,887,856,2012
Hawai`i,0.15323248291172184,3,9,64,78,855,916,2012
Kentucky,0.10935080391854138,2,10,91,50,1002,765,2012
Boston College,0.07948153452982741,2,10,79,61,943,806,2012
Illinois,0.0774443062549231,2,10,78,60,898,817,2012
Eastern Michigan,0.0779760161616735,2,10,83,61,909,884,2012
Army,0.07017545898380588,2,10,77,64,891,862,2012
Tulane,0.05694005985250381,2,10,71,70,844,896,2012
UNLV,0.042172938578491546,2,11,74,75,879,993,2012
South Alabama,0.03632225430469136,2,11,66,81,910,929,2012
Kansas,0.012328811991448287,1,11,91,54,972,825,2012
Idaho,0.010204615473468301,1,11,82,57,871,848,2012
Colorado,0.00993337750848827,1,11,79,62,964,799,2012
Akron,0.0070449879767861346,1,11,71,70,833,902,2012
New Mexico St,0.006794363188977049,1,11,66,70,842,847,2012
Massachusetts,0.006127146772230862,1,11,64,75,871,873,2012
Southern Miss,0.0,0,12,74,68,839,911,2012
Florida St,19.32052650022246,14,0,96,69,1198,901,2013
Auburn,15.454627888611611,12,2,107,59,1254,869,2013
Missouri,14.764981260721388,12,2,102,61,1249,837,2013
South Carolina,14.770981170561054,11,2,99,56,1175,791,2013
Michigan St,13.758670667540269,13,1,89,74,1192,876,2013
Clemson,12.770923364937644,11,2,94,60,1105,848,2013
Alabama,11.90196866646686,11,2,89,64,1131,817,2013
Baylor,11.402244928532845,11,2,88,61,1009,861,2013
Ohio State,10.39338163747249,12,2,88,74,1155,910,2013
Oklahoma,11.249469922931633,11,2,86,64,1075,828,2013
Central Florida,11.019159292026679,12,1,75,73,1024,853,2013
Stanford,10.906564866144446,11,3,97,57,1125,860,2013
Oregon,9.585611967086463,11,2,78,73,1148,788,2013
Oklahoma St,8.800112712780042,10,3,88,63,1085,821,2013
Louisville,8.903300917190851,12,1,69,80,995,890,2013
UCLA,8.813587465940307,10,3,89,65,1134,822,2013
Arizona St,8.32869535687732,10,4,97,57,1140,839,2013
LSU,8.530885245642688,10,3,85,68,1189,769,2013
Texas A&M,8.051361094960829,9,4,104,54,1110,872,2013
Fresno St,7.156147448813237,11,2,72,79,997,922,2013
Northern Illinois,7.111211920283987,12,2,75,87,1079,969,2013
Southern Cal,6.812472536064503,10,4,95,72,1231,900,2013
Notre Dame,6.5779868637384356,9,4,93,64,1113,857,2013
Washington,6.0366605394465,9,4,87,67,1111,838,2013
Duke,6.193546798339744,10,4,89,74,1188,896,2013
Georgia,5.672610998157038,8,5,100,54,1128,826,2013
Miami FL,5.210938261227828,9,4,80,72,1097,838,2013
Wisconsin,5.435412988233851,9,4,81,70,1093,827,2013
Mississippi,4.954107927150224,8,5,93,61,1146,820,2013
Nebraska,5.429826169229086,9,4,82,70,1088,847,2013
Virginia Tech,4.606806650619308,8,5,94,62,1078,902,2013
Vanderbilt,4.340996915722234,9,4,70,80,1154,767,2013
East Carolina,4.8122607783311695,10,3,68,82,979,924,2013
Arizona,4.643872100598815,8,5,91,62,1099,852,2013
Iowa,4.341522403879627,8,5,90,64,1062,885,2013
Navy,4.500271855022786,9,4,75,73,995,889,2013
Kansas St,4.41137626223499,8,5,89,64,1078,849,2013
Brigham Young,3.8217327848687708,8,5,84,69,1062,890,2013
Texas,4.209303573909507,8,5,86,65,1063,846,2013
Minnesota,3.918319146876477,8,5,84,67,1041,875,2013
Rice,4.126103120087539,10,4,75,86,1068,979,2013
Ball St,4.052101270217091,10,3,61,85,945,908,2013
Texas Tech,3.747170901182875,8,5,81,69,1035,842,2013
Mississippi St,4.002984416859747,7,6,105,50,1094,864,2013
Houston,3.9417758294438268,8,5,89,63,928,953,2013
Bowling Green,3.7856009900299803,10,4,70,90,1112,937,2013
Utah St,3.4268269751485065,9,5,83,81,1051,1036,2013
Marshall,3.725894815944244,10,4,73,88,1014,1025,2013
Toledo,3.6222341892432555,7,5,86,58,924,882,2013
North Texas,3.588897921528511,9,4,71,80,930,971,2013
Louisiana-Lafayette,3.4431363354085227,9,4,65,81,957,871,2013
Arkansas St,3.1794129045168416,8,5,76,72,953,889,2013
Georgia Tech,2.7383467187158095,7,6,85,69,1125,829,2013
Pittsburgh,3.260300548871611,7,6,97,59,1070,911,2013
Penn State,3.1662130660465992,7,5,75,65,986,788,2013
San Diego St,3.17530706768437,8,5,78,74,995,928,2013
Michigan,3.1598070424650655,7,6,92,60,1074,870,2013
Western Kentucky,3.055441038975219,8,4,61,74,846,829,2013
North Carolina,3.0373734440706337,7,6,93,61,1044,913,2013
Boise St,2.9995135867612275,8,5,77,75,969,963,2013
Oregon St,2.9533115843632696,7,6,90,67,1149,847,2013
Syracuse,2.7121170353462576,7,6,84,67,1075,840,2013
Boston College,2.6827635734852655,7,6,84,68,1091,848,2013
Texas-San Antonio,2.5391569160102785,7,5,71,70,897,881,2013
Cincinnati,2.5067210732971223,9,4,55,92,1007,859,2013
Middle Tennessee St,2.1949656585348247,8,5,65,85,950,944,2013
Buffalo,2.3696804475787023,8,5,66,83,980,911,2013
Tulane,2.1930465775956525,7,6,80,68,887,958,2013
Maryland,2.1706819931917543,7,6,76,75,1056,868,2013
San José St,1.981262131296764,6,6,80,63,905,882,2013
Louisiana-Monroe,1.729708506660489,6,6,71,65,855,829,2013
Washington St,1.9772882401130116,6,7,94,64,1133,861,2013
UNLV,1.8788856489164605,7,6,73,77,969,938,2013
Tennessee,1.5845238406379774,5,7,87,54,1027,758,2013
Ohio U.,1.6669390221483238,7,6,71,80,920,985,2013
Utah,1.5410244548701082,5,7,89,57,1060,789,2013
Troy,1.4592302514194808,6,6,65,73,904,814,2013
South Alabama,1.6546883098921958,6,6,70,67,863,839,2013
Indiana,1.3985108584632873,5,7,86,58,980,828,2013
Colorado St,1.5974973510625718,8,6,64,95,1078,962,2013
Florida Atlantic,1.466131054952079,6,6,68,74,914,873,2013
Rutgers,1.2633239516668469,6,7,74,75,982,903,2013
Northwestern,1.3028527267115315,5,7,82,61,981,810,2013
Central Michigan,1.2134406306892527,6,6,61,80,917,851,2013
Texas St-San Marcos,1.1350392072559015,6,6,58,77,824,851,2013
Akron,1.0993251128662507,5,7,78,63,877,889,2013
Florida,0.8609468541126385,4,8,89,51,1025,757,2013
SMU,0.8908715394600435,5,7,66,72,939,805,2013
Colorado,0.7586126671621858,4,8,88,56,996,820,2013
TCU,0.7262116760541061,4,8,84,57,974,789,2013
Wyoming,0.6254287083128741,5,7,58,81,870,882,2013
Wake Forest,0.6490308428724756,4,8,81,60,942,832,2013
Nevada,0.5988999582291824,4,8,80,62,915,881,2013
Illinois,0.6149644542501684,4,8,78,62,950,826,2013
West Virginia,0.5573101720604705,4,8,72,67,982,769,2013
Kent St,0.5270186804880681,4,8,76,64,845,905,2013
Arkansas,0.33089191800197904,3,9,87,56,1039,777,2013
North Carolina St,0.28587903605153453,3,9,84,58,938,856,2013
Iowa St,0.2641101693742608,3,9,76,63,994,764,2013
Kansas,0.24739525861568304,3,9,76,64,944,813,2013
Memphis,0.24022438175099492,3,9,77,63,894,865,2013
Tulsa,0.2372533809807975,3,9,82,62,841,955,2013
Connecticut,0.23309663316915144,3,9,77,66,921,869,2013
Louisiana Tech,0.2128441502678666,4,8,46,90,863,855,2013
New Mexico,0.1718526892098795,3,9,67,74,869,915,2013
Army,0.13053439181629284,3,9,56,81,853,853,2013
Virginia,0.09242919327665572,2,10,87,57,996,825,2013
Kentucky,0.09587449791582037,2,10,85,55,991,773,2013
South Florida,0.08684360107939097,2,10,86,55,893,878,2013
Temple,0.06333235829391086,2,10,73,67,881,870,2013
Alabama-Birmingham,0.06254423827798239,2,10,74,66,852,910,2013
Eastern Michigan,0.05853932192706533,2,10,73,67,812,934,2013
New Mexico St,0.05626644550275742,2,10,68,71,876,849,2013
Air Force,0.05067242055073891,2,10,67,74,858,912,2013
UTEP,0.04305122155699886,2,10,61,79,866,902,2013
Purdue,0.011273144050542356,1,11,87,56,951,856,2013
California,0.012204747993268398,1,11,88,56,1034,797,2013
Idaho,0.009335637029074396,1,11,80,61,891,887,2013
Hawai`i,0.008168479719040818,1,11,76,67,904,905,2013
Western Michigan,0.007356953711066462,1,11,69,70,908,852,2013
Massachusetts,0.007551515277548463,1,11,74,68,850,919,2013
Florida Int'l,0.007293010978146482,1,11,73,67,813,941,2013
Southern Miss,0.006081789217509623,1,11,65,74,842,910,2013
Georgia St,0.0,0,12,79,60,844,879,2013
Miami OH,0.0,0,12,64,76,848,910,2013
Ohio State,20.0747422358138,14,1,117,63,1274,906,2014
Florida St,18.46103191334333,13,1,96,59,1115,740,2014
Oregon,16.12744333111277,13,2,100,55,1144,778,2014
Alabama,16.022865912578375,12,2,100,56,1174,722,2014
Michigan St,13.29474141694642,11,2,95,59,1132,831,2014
TCU,13.076626318134918,12,1,81,69,1089,821,2014
Boise St,12.374903324430981,12,2,94,61,989,862,2014
Georgia Tech,11.41419858563352,11,3,99,55,1046,791,2014
Missouri,10.831197179405057,11,3,102,64,1255,867,2014
UCLA,10.806845887481089,10,3,101,56,1082,804,2014
Marshall,10.715882214491234,13,1,76,73,909,858,2014
Georgia,9.900083545487348,10,3,93,60,1145,800,2014
Wisconsin,9.790104054577235,11,3,92,64,1091,789,2014
Mississippi,9.713252962280485,9,4,102,43,1024,707,2014
Mississippi St,9.456126458240307,10,3,83,59,1038,669,2014
Baylor,9.429567706076247,11,2,79,70,1052,848,2014
Clemson,9.171023781413394,10,3,91,63,1131,829,2014
Arizona St,8.654853687060372,10,3,82,60,1007,759,2014
Arizona,7.066179909072083,10,4,90,65,1095,809,2014
Utah,7.040496069258732,9,4,87,57,1019,734,2014
Air Force,6.516601881169147,10,3,74,68,892,800,2014
Auburn,6.316737838922425,8,5,98,48,1054,698,2014
Kansas St,6.2997865146863745,9,4,89,64,1093,855,2014
Southern Cal,6.286866134710597,9,4,88,66,1081,782,2014
Colorado St,6.2442194944724605,10,3,71,70,936,794,2014
Louisville,6.0739504856046205,9,4,78,62,986,686,2014
Northern Illinois,6.036980375043501,11,3,79,82,1054,985,2014
Nebraska,5.742339499138912,9,4,79,64,977,746,2014
Memphis,5.553002976045947,10,3,65,72,904,764,2014
LSU,5.3339154333406835,8,5,97,60,1201,802,2014
Utah St,5.11230766021424,10,4,85,79,1093,1000,2014
Texas A&M,5.066439357189753,8,5,95,60,1143,832,2014
Minnesota,4.8921746586652874,8,5,87,56,984,751,2014
Toledo,4.883935609931453,9,4,83,71,982,956,2014
Stanford,4.866704425835129,8,5,86,57,996,729,2014
North Carolina St,4.724731429978002,8,5,85,56,935,741,2014
Notre Dame,4.668311246800632,8,5,90,63,1071,779,2014
Rutgers,4.630870502216454,8,5,83,60,1034,719,2014
Louisiana-Lafayette,4.529597376614269,9,4,79,73,944,924,2014
Louisiana Tech,4.460671085239097,9,5,86,66,974,883,2014
Florida,4.432518078950635,7,5,90,54,1045,783,2014
Cincinnati,4.396993309293642,9,4,76,76,1023,907,2014
Navy,4.354418507487143,8,5,85,56,872,824,2014
Arkansas,4.140706628705355,7,6,97,48,1033,710,2014
Georgia Southern,4.078186307901907,9,3,55,70,733,735,2014
Central Florida,4.045868001820664,9,4,73,77,973,917,2014
Oklahoma,3.9573650647432776,8,5,84,69,1098,851,2014
Duke,3.805272298140694,9,4,62,77,958,704,2014
Tennessee,3.6351919248073994,7,6,100,57,1145,850,2014
Brigham Young,3.6099429795701523,8,5,77,65,894,803,2014
Western Kentucky,3.458559014933555,8,5,82,71,930,870,2014
Maryland,3.1500737118891036,7,6,92,63,1138,849,2014
South Carolina,3.103863155436525,7,6,83,59,991,712,2014
Virginia Tech,3.044439232520666,7,6,86,59,969,779,2014
West Virginia,3.0301199061598614,7,6,83,59,972,739,2014
Washington,3.0078783584186124,8,6,89,78,1201,915,2014
Boston College,2.869116244820088,7,6,82,60,949,773,2014
Rice,2.8611942782414315,8,5,75,78,981,939,2014
Oklahoma St,2.7942551570103453,7,6,81,61,945,773,2014
Western Michigan,2.675459028343602,8,5,66,73,829,799,2014
Penn State,2.6123289404665444,7,6,84,68,1064,878,2014
Bowling Green,2.433841621321565,8,6,77,72,865,906,2014
East Carolina,2.4052102059971783,8,5,65,83,1007,875,2014
Nevada,2.3622981082403087,7,6,78,67,902,823,2014
Houston,2.3093515390493335,8,5,66,83,950,931,2014
Iowa,2.2032133201785964,7,6,76,77,1125,842,2014
Miami FL,2.1490557891708755,6,7,91,54,964,773,2014
Illinois,2.0260724892903084,6,7,96,61,1104,899,2014
North Carolina,2.000258876788076,6,7,95,62,1108,886,2014
Middle Tennessee St,1.9513239626024592,6,6,70,58,796,729,2014
UTEP,1.7915695830604181,7,6,71,79,924,880,2014
Arkansas St,1.7544829515639448,7,6,71,79,945,939,2014
Appalachian St,1.7413152714939522,7,5,57,79,843,845,2014
Central Michigan,1.737991563991511,7,6,69,80,978,906,2014
Texas,1.7200942082312949,6,7,85,67,1016,800,2014
Old Dominion,1.6772591448862335,6,6,65,64,816,728,2014
Alabama-Birmingham,1.664738929279577,6,6,64,64,806,707,2014
San Diego St,1.6395072528563075,7,6,69,83,981,944,2014
Texas St-San Marcos,1.5699540434363657,7,5,50,75,741,758,2014
Temple,1.5269094475883818,6,6,63,65,772,759,2014
Virginia,1.5264476593714587,5,7,89,56,1039,816,2014
Michigan,1.4211658280250303,5,7,83,59,1046,773,2014
Ohio U.,1.4121609394053063,6,6,61,65,710,763,2014
Kentucky,1.3951956287569,5,7,75,54,877,660,2014
Pittsburgh,1.3741710901466895,6,7,77,75,1055,882,2014
California,1.3206479921321888,5,7,74,58,937,676,2014
Northwestern,1.2593367124321786,5,7,73,58,897,703,2014
Oregon St,1.169525764771652,5,7,71,61,893,705,2014
South Alabama,1.153276432349915,6,7,72,76,853,868,2014
Fresno St,1.0288825573292177,6,8,70,71,927,821,2014
Ball St,0.8634954507754702,5,7,70,72,867,898,2014
Buffalo,0.7824071773352875,5,6,52,73,738,795,2014
Indiana,0.7054249599843362,4,8,85,61,1048,817,2014
Wyoming,0.6838750989055886,4,8,87,60,961,862,2014
Texas Tech,0.6169505783912975,4,8,71,59,879,695,2014
Akron,0.6122631499166289,5,7,52,73,717,749,2014
New Mexico,0.5266918152720621,4,8,76,68,873,837,2014
South Florida,0.5195979272293613,4,8,74,67,900,867,2014
Florida Int'l,0.507752214428594,4,8,73,63,807,889,2014
Army,0.5020259126128978,4,8,70,65,850,836,2014
Texas-San Antonio,0.430163660027713,4,8,67,74,912,861,2014
Louisiana-Monroe,0.37497539774567046,4,8,61,74,842,856,2014
Washington St,0.34218128224756444,3,9,83,51,919,691,2014
Syracuse,0.3231541175914988,3,9,89,56,1009,829,2014
Hawai`i,0.320739584964982,4,9,72,84,1026,959,2014
Vanderbilt,0.292068707110656,3,9,80,59,996,769,2014
Southern Miss,0.29092393736548017,3,9,87,55,872,886,2014
Purdue,0.281781920968669,3,9,75,56,866,708,2014
Wake Forest,0.27839448986319476,3,9,75,56,842,707,2014
North Texas,0.26985862065147126,4,8,47,79,808,735,2014
Kansas,0.2628346131951901,3,9,73,57,829,725,2014
Tulane,0.25479588501051936,3,9,82,60,868,907,2014
Florida Atlantic,0.20317263719512196,3,9,69,69,853,787,2014
San José St,0.19966872424057222,3,9,65,68,848,737,2014
Troy,0.15069969725256163,3,9,56,68,689,768,2014
Massachusetts,0.10263292710204848,3,9,48,87,889,822,2014
Iowa St,0.09345097398932246,2,10,88,57,1004,828,2014
Colorado,0.08899253271532885,2,10,86,59,953,791,2014
Kent St,0.07449190692667458,2,9,64,66,833,796,2014
Eastern Michigan,0.06491161274532652,2,10,74,64,846,889,2014
Miami OH,0.060145024381412754,2,10,73,65,799,922,2014
Connecticut,0.05855839326777239,2,10,64,64,766,748,2014
Tulsa,0.053305497213379925,2,10,67,71,847,887,2014
UNLV,0.05035035396752854,2,11,77,69,865,875,2014
New Mexico St,0.03985367004446689,2,10,57,78,818,876,2014
SMU,0.008332784518515074,1,11,76,64,858,898,2014
Georgia St,0.007538886244319122,1,11,73,66,819,915,2014
Idaho,0.006736474175190703,1,10,56,69,692,857,2014
Alabama,25.827353786616854,14,1,134,49,1368,941,2015
Clemson,19.16167854243615,14,1,105,61,1174,819,2015
Ohio State,14.736548926752358,12,1,88,67,1105,796,2015
Michigan St,14.713371407886713,12,2,106,63,1227,839,2015
Oklahoma,12.740224517380366,11,2,95,60,1095,861,2015
Stanford,12.7361986269162,12,2,92,63,1147,851,2015
Iowa,11.739309552249166,12,2,92,73,1258,840,2015
Houston,11.50023048846117,13,1,78,74,1002,835,2015
Mississippi,11.181658575035751,10,3,91,52,1061,688,2015
TCU,10.18401419670802,11,2,75,65,994,703,2015
Navy,10.128862442591032,11,2,87,68,1029,910,2015
LSU,9.772914216295671,9,3,90,55,1110,736,2015
Northwestern,9.711576504754982,10,3,94,60,1119,835,2015
Notre Dame,9.438324988620847,10,3,93,62,1080,795,2015
Michigan,9.307203491695473,10,3,91,63,1115,789,2015
North Carolina,8.661351894081708,11,3,91,71,1155,886,2015
Florida St,8.632546511385648,10,3,90,65,1093,850,2015
Western Kentucky,8.38994634888941,12,2,82,79,982,930,2015
Oklahoma St,8.189538564292016,10,3,85,65,1059,831,2015
Mississippi St,7.87426666931777,9,4,91,52,1005,710,2015
Utah,7.718827051610505,10,3,84,71,1089,797,2015
Appalachian St,7.6647298169171565,11,2,70,70,834,814,2015
Georgia,7.648518513837854,10,3,81,71,1145,790,2015
Toledo,7.607811615963792,10,2,71,71,895,807,2015
Baylor,7.540543804280069,10,3,76,64,936,729,2015
Florida,7.426296164013474,10,4,96,66,1207,873,2015
Oregon,7.383678534113159,9,4,91,55,1019,760,2015
Tennessee,7.380792620360681,9,4,94,59,1145,798,2015
Wisconsin,6.723783294826663,10,3,77,77,1167,808,2015
Arkansas,6.104588503205255,8,5,101,51,1148,787,2015
Memphis,6.039968260290004,9,4,83,61,955,788,2015
San Diego St,5.730374039349536,11,3,78,85,1070,1004,2015
Washington St,5.435161965605335,9,4,82,71,1112,838,2015
Brigham Young,5.38259748724091,9,4,77,64,947,794,2015
Bowling Green,5.273208843135839,10,4,84,78,1043,895,2015
California,5.211464241826573,8,5,99,58,1104,859,2015
Pittsburgh,4.956674555785303,8,5,89,54,934,767,2015
Texas A&M,4.906377772178979,8,5,90,62,1168,777,2015
Miami FL,4.883175547760459,8,5,94,60,1095,852,2015
Temple,4.856921674692572,10,4,81,81,1047,917,2015
Georgia Southern,4.545671308319242,9,4,79,73,958,931,2015
Louisville,4.372304459018108,8,5,81,61,971,713,2015
Marshall,4.345129965287177,10,3,60,79,851,810,2015
Western Michigan,4.279369177355789,8,5,85,58,909,840,2015
Louisiana Tech,4.268773788284813,9,4,77,73,911,955,2015
Auburn,4.230085130476927,7,6,107,50,1155,825,2015
Southern Cal,4.150766939946619,8,6,98,57,1064,848,2015
West Virginia,3.9922042170764156,8,5,82,68,1092,813,2015
Arkansas St,3.8500036861921485,9,4,66,72,838,814,2015
UCLA,3.7966584018648337,8,5,83,72,1067,811,2015
Boise St,3.6680829633114356,9,4,66,77,890,825,2015
South Florida,3.5610787359727505,8,5,74,67,947,760,2015
Ohio U.,3.283680026708767,8,5,74,67,863,824,2015
Washington,3.267836029642557,7,6,89,57,997,773,2015
Penn State,3.208207411387908,7,6,94,60,1086,883,2015
Texas Tech,3.1472495406485286,7,6,91,62,1089,822,2015
Southern Miss,3.1164170435349416,9,5,72,78,920,887,2015
Duke,2.891411705232244,8,5,71,78,1030,855,2015
Cincinnati,2.6319270166113204,7,6,82,62,902,833,2015
Air Force,2.6038537570391678,8,6,81,74,952,911,2015
North Carolina St,2.585382479830654,7,6,77,64,919,736,2015
Akron,2.543417093246559,8,5,64,75,869,819,2015
Arizona,2.463739794973192,7,6,84,70,1029,911,2015
Northern Illinois,2.4555047362744156,8,6,76,74,933,887,2015
Virginia Tech,2.2517613274792843,7,6,71,69,941,737,2015
Central Michigan,2.199046687231455,7,6,72,68,908,797,2015
Minnesota,2.1052786994077546,6,7,96,58,1031,840,2015
Middle Tennessee St,2.098809697615101,7,6,70,70,912,784,2015
Nebraska,1.9946460118960376,6,7,93,62,1064,824,2015
Arizona St,1.9324471150182603,6,7,86,59,989,781,2015
Indiana,1.8824659048479877,6,7,83,59,983,771,2015
Kansas St,1.7175444731301197,6,7,78,62,950,738,2015
Utah St,1.5801897732048618,6,7,89,66,955,1004,2015
New Mexico,1.5644867673060032,7,6,64,79,869,868,2015
Colorado St,1.5489840096323733,7,6,63,79,870,856,2015
Nevada,1.5128765841715528,7,6,62,79,849,845,2015
Illinois,1.4717128120660647,5,7,86,58,1037,781,2015
Connecticut,1.467956813083446,6,7,82,69,963,939,2015
Texas,1.3845612370742273,5,7,82,59,1013,777,2015
Missouri,1.3804757644901875,5,7,75,55,891,663,2015
Tulsa,1.2003184902101458,6,7,73,79,966,859,2015
San José St,1.1623302042240757,6,7,75,79,967,973,2015
East Carolina,1.0947534696080414,5,7,76,66,942,841,2015
Kentucky,1.0442186429063676,5,7,70,68,979,766,2015
Georgia St,1.0129283401957265,6,7,67,80,919,934,2015
South Alabama,0.9648299355500607,5,7,67,62,756,773,2015
Vanderbilt,0.833668874965118,4,8,84,48,881,704,2015
Buffalo,0.7768228922075078,5,7,60,70,794,781,2015
Old Dominion,0.7691668340252708,5,7,61,67,721,819,2015
Florida Int'l,0.7271902826628455,5,7,63,74,811,895,2015
Virginia,0.7225317191424702,4,8,85,58,990,803,2015
Syracuse,0.6694998949299916,4,8,73,57,892,664,2015
Rice,0.644467947400462,5,7,54,73,751,773,2015
UTEP,0.634969816705805,5,7,57,79,851,852,2015
Rutgers,0.5937323294313052,4,8,69,61,919,696,2015
Troy,0.4968211036566087,4,8,72,68,884,859,2015
Idaho,0.4383711160072474,4,8,66,73,914,827,2015
Colorado,0.4320042671073906,4,9,75,69,966,801,2015
Maryland,0.3995340812160094,3,9,100,47,1020,826,2015
Louisiana-Lafayette,0.36135346532296425,4,8,57,70,727,774,2015
Georgia Tech,0.3547987113686824,3,9,93,52,998,810,2015
Iowa St,0.34530556357288666,3,9,90,53,997,790,2015
South Carolina,0.31519815546019786,3,9,85,58,1022,768,2015
Boston College,0.2858218336010808,3,9,70,51,798,662,2015
Wake Forest,0.2704486912374613,3,9,74,58,852,695,2015
Ball St,0.22939647851896128,3,9,70,61,816,771,2015
Fresno St,0.22624900936293446,3,9,71,62,815,789,2015
Kent St,0.21024169334622053,3,9,66,62,789,770,2015
Texas St-San Marcos,0.20739755570039062,3,9,73,66,834,899,2015
Florida Atlantic,0.19441206376631176,3,9,71,69,805,859,2015
Miami OH,0.18922904323616485,3,9,64,66,788,789,2015
UNLV,0.187663897739676,3,9,65,67,793,808,2015
Tulane,0.17931928388659157,3,9,61,69,810,744,2015
New Mexico St,0.16224315565725436,3,9,64,76,873,884,2015
Texas-San Antonio,0.16087021605708296,3,9,64,76,806,830,2015
Massachusetts,0.1598216933781552,3,9,63,76,840,847,2015
Hawai`i,0.15054444271816161,3,10,72,72,857,892,2015
Purdue,0.10108232681994203,2,10,84,50,919,735,2015
Oregon St,0.09339754353206868,2,10,80,53,915,726,2015
SMU,0.08851458967775859,2,10,86,56,932,856,2015
Wyoming,0.06286498974431126,2,10,76,66,849,942,2015
UNC-Charlotte,0.044450930141303614,2,10,58,70,715,814,2015
Louisiana-Monroe,0.04429568064016436,2,11,69,72,860,833,2015
Army,0.04275595735036981,2,10,59,78,851,858,2015
North Texas,0.009404358232583112,1,11,81,61,885,887,2015
Eastern Michigan,0.005103781616823323,1,11,57,80,833,802,2015
Kansas,0.0,0,12,80,60,996,775,2015
Central Florida,0.0,0,12,70,71,917,850,2015
Clemson,23.78005620893973,14,1,119,51,1235,834,2016
